user1: total_duration=7235ms, total_cost=42.50
user670: total_duration=7593ms, total_cost=40.62
user671: total_duration=13499ms, total_cost=85.93
user672: total_duration=11750ms, total_cost=73.37
user673: total_duration=5671ms, total_cost=37.91
user674: total_duration=10698ms, total_cost=74.27
user675: total_duration=12855ms, total_cost=86.76
user676: total_duration=10526ms, total_cost=84.58
user677: total_duration=14679ms, total_cost=98.89
user678: total_duration=9274ms, total_cost=55.45
user679: total_duration=12401ms, total_cost=84.60
user68: total_duration=6128ms, total_cost=29.03
user680: total_duration=7247ms, total_cost=48.69
user681: total_duration=11576ms, total_cost=68.69
user682: total_duration=12233ms, total_cost=66.77
user683: total_duration=14618ms, total_cost=86.13
user684: total_duration=11668ms, total_cost=82.08
user685: total_duration=8297ms, total_cost=45.71
user686: total_duration=16340ms, total_cost=113.51
user687: total_duration=7201ms, total_cost=60.34
user688: total_duration=11683ms, total_cost=64.89
user689: total_duration=12340ms, total_cost=61.06
user69: total_duration=11990ms, total_cost=48.05
user690: total_duration=11599ms, total_cost=61.99
user691: total_duration=11328ms, total_cost=65.54
user692: total_duration=3530ms, total_cost=24.67
user693: total_duration=7965ms, total_cost=50.12
user694: total_duration=9809ms, total_cost=53.96
user695: total_duration=2671ms, total_cost=26.71
user696: total_duration=12674ms, total_cost=75.07
user697: total_duration=17614ms, total_cost=100.42
user698: total_duration=8621ms, total_cost=54.43
user699: total_duration=9512ms, total_cost=62.00
user7: total_duration=11538ms, total_cost=65.12
user70: total_duration=3893ms, total_cost=31.89
user700: total_duration=7913ms, total_cost=44.25
user701: total_duration=11085ms, total_cost=87.34
user702: total_duration=13062ms, total_cost=84.74
user703: total_duration=16513ms, total_cost=94.64
user704: total_duration=16989ms, total_cost=113.18
user705: total_duration=14361ms, total_cost=88.80
user706: total_duration=4880ms, total_cost=20.38
user707: total_duration=5425ms, total_cost=31.24
user708: total_duration=7475ms, total_cost=37.96
user709: total_duration=9126ms, total_cost=65.33
user71: total_duration=11102ms, total_cost=68.81
user710: total_duration=11121ms, total_cost=78.78
user711: total_duration=15243ms, total_cost=92.44
user712: total_duration=12285ms, total_cost=79.73
user713: total_duration=13472ms, total_cost=73.96
user714: total_duration=16847ms, total_cost=118.02
user715: total_duration=10463ms, total_cost=61.33
user716: total_duration=8848ms, total_cost=55.56
user717: total_duration=10621ms, total_cost=82.27
user718: total_duration=9419ms, total_cost=48.26
user719: total_duration=8084ms, total_cost=26.68
user72: total_duration=3875ms, total_cost=27.22
user720: total_duration=6492ms, total_cost=30.40
user721: total_duration=14003ms, total_cost=93.98
user722: total_duration=5131ms, total_cost=38.77
user723: total_duration=3977ms, total_cost=26.89
user724: total_duration=14235ms, total_cost=85.76
user725: total_duration=10143ms, total_cost=51.45
user726: total_duration=7022ms, total_cost=43.86
user727: total_duration=9277ms, total_cost=48.92
user728: total_duration=3736ms, total_cost=19.39
user729: total_duration=12936ms, total_cost=66.30
user73: total_duration=9878ms, total_cost=50.05
user730: total_duration=6225ms, total_cost=40.44
user731: total_duration=9912ms, total_cost=55.98
user732: total_duration=4076ms, total_cost=28.78
user733: total_duration=17407ms, total_cost=119.06
user734: total_duration=8119ms, total_cost=42.10
user735: total_duration=6529ms, total_cost=51.47
user736: total_duration=7022ms, total_cost=53.11
user737: total_duration=9562ms, total_cost=74.07
user738: total_duration=6672ms, total_cost=56.83
user739: total_duration=14118ms, total_cost=100.28
user74: total_duration=12451ms, total_cost=90.88
user740: total_duration=15148ms, total_cost=106.28
user741: total_duration=9692ms, total_cost=70.76
user742: total_duration=11689ms, total_cost=65.68
user743: total_duration=10714ms, total_cost=58.51
user744: total_duration=14106ms, total_cost=94.67
user745: total_duration=12259ms, total_cost=76.46
user746: total_duration=7742ms, total_cost=48.80
user747: total_duration=9664ms, total_cost=49.55
user748: total_duration=3482ms, total_cost=22.88
user749: total_duration=6450ms, total_cost=36.64
user75: total_duration=5496ms, total_cost=39.95
user750: total_duration=9236ms, total_cost=54.56
user751: total_duration=7511ms, total_cost=43.10
user752: total_duration=5013ms, total_cost=30.70
user753: total_duration=14995ms, total_cost=102.65
user754: total_duration=12923ms, total_cost=66.64
user755: total_duration=6981ms, total_cost=45.80
user756: total_duration=5795ms, total_cost=33.08
user757: total_duration=8047ms, total_cost=56.41
user758: total_duration=18012ms, total_cost=105.94
user759: total_duration=15593ms, total_cost=103.48
user76: total_duration=13073ms, total_cost=98.75
user760: total_duration=7764ms, total_cost=47.31
user761: total_duration=7086ms, total_cost=48.19
user762: total_duration=5977ms, total_cost=32.21
user763: total_duration=7425ms, total_cost=42.02
user764: total_duration=4307ms, total_cost=27.85
user765: total_duration=11320ms, total_cost=68.25
user766: total_duration=14424ms, total_cost=82.76
user767: total_duration=14981ms, total_cost=90.79
user768: total_duration=6811ms, total_cost=57.52
user769: total_duration=10245ms, total_cost=65.30
user77: total_duration=12482ms, total_cost=100.02
user770: total_duration=9319ms, total_cost=65.89
user771: total_duration=13124ms, total_cost=67.25
user772: total_duration=10355ms, total_cost=82.61
user773: total_duration=6877ms, total_cost=42.38
user774: total_duration=4366ms, total_cost=12.48
user775: total_duration=8146ms, total_cost=53.17
user776: total_duration=18389ms, total_cost=134.59
user777: total_duration=8260ms, total_cost=47.67
user778: total_duration=6727ms, total_cost=36.74
user779: total_duration=13107ms, total_cost=92.65
user78: total_duration=10249ms, total_cost=52.58
user780: total_duration=11040ms, total_cost=64.99
user781: total_duration=10827ms, total_cost=70.54
user782: total_duration=11950ms, total_cost=69.08
user783: total_duration=12656ms, total_cost=73.35
user784: total_duration=10795ms, total_cost=70.15
user785: total_duration=6741ms, total_cost=44.10
user786: total_duration=11736ms, total_cost=50.41
user787: total_duration=6844ms, total_cost=40.15
user788: total_duration=10936ms, total_cost=58.27
user789: total_duration=8591ms, total_cost=56.41
user79: total_duration=7025ms, total_cost=48.80
user790: total_duration=10653ms, total_cost=79.79
user791: total_duration=11925ms, total_cost=63.37
user792: total_duration=9852ms, total_cost=59.42
user793: total_duration=10604ms, total_cost=77.54
user794: total_duration=10473ms, total_cost=80.19
user795: total_duration=9823ms, total_cost=44.69
user796: total_duration=7182ms, total_cost=50.10
user797: total_duration=2648ms, total_cost=5.30
user798: total_duration=9701ms, total_cost=60.09
user799: total_duration=7715ms, total_cost=55.95
user8: total_duration=12284ms, total_cost=84.02
user80: total_duration=10824ms, total_cost=62.56
user800: total_duration=3248ms, total_cost=22.02
user801: total_duration=3653ms, total_cost=28.58
user802: total_duration=11629ms, total_cost=71.78
user803: total_duration=14542ms, total_cost=102.19
user804: total_duration=4404ms, total_cost=27.99
user805: total_duration=13204ms, total_cost=86.17
user806: total_duration=9653ms, total_cost=80.91
user807: total_duration=11086ms, total_cost=75.57
user808: total_duration=7851ms, total_cost=64.10
user809: total_duration=10127ms, total_cost=61.34
user81: total_duration=5956ms, total_cost=47.41
user810: total_duration=8257ms, total_cost=58.31
user811: total_duration=11015ms, total_cost=88.98
user812: total_duration=8388ms, total_cost=66.96
user813: total_duration=9495ms, total_cost=62.23
user814: total_duration=11238ms, total_cost=78.87
user815: total_duration=6986ms, total_cost=54.23
user816: total_duration=5774ms, total_cost=33.20
user817: total_duration=15284ms, total_cost=109.01
user818: total_duration=8560ms, total_cost=66.04
user819: total_duration=12688ms, total_cost=94.82
user82: total_duration=14045ms, total_cost=88.63
user820: total_duration=9375ms, total_cost=53.41
user821: total_duration=14987ms, total_cost=107.69
user822: total_duration=5844ms, total_cost=22.49
user823: total_duration=11022ms, total_cost=93.73
user824: total_duration=7295ms, total_cost=46.43
user825: total_duration=10054ms, total_cost=52.56
user826: total_duration=12222ms, total_cost=68.43
user827: total_duration=12206ms, total_cost=77.37
user828: total_duration=9991ms, total_cost=59.46
user829: total_duration=9406ms, total_cost=54.06
user83: total_duration=10949ms, total_cost=70.37
user830: total_duration=12621ms, total_cost=80.78
user831: total_duration=13972ms, total_cost=96.64
user832: total_duration=9013ms, total_cost=64.66
user833: total_duration=5277ms, total_cost=34.22
user834: total_duration=17338ms, total_cost=112.28
user835: total_duration=11335ms, total_cost=74.98
user836: total_duration=14472ms, total_cost=79.81
user837: total_duration=19317ms, total_cost=123.65
user838: total_duration=8958ms, total_cost=74.02
user839: total_duration=5011ms, total_cost=35.70
user84: total_duration=3467ms, total_cost=30.82
user840: total_duration=9620ms, total_cost=57.26
user841: total_duration=14119ms, total_cost=82.41
user842: total_duration=10373ms, total_cost=75.60
user843: total_duration=10294ms, total_cost=79.10
user844: total_duration=15530ms, total_cost=99.17
user845: total_duration=9761ms, total_cost=56.43
user846: total_duration=8874ms, total_cost=57.54
user847: total_duration=6009ms, total_cost=45.84
user848: total_duration=9068ms, total_cost=55.37
user849: total_duration=8141ms, total_cost=46.71
user85: total_duration=13156ms, total_cost=81.22
user850: total_duration=9882ms, total_cost=62.99
user851: total_duration=11343ms, total_cost=59.21
user852: total_duration=5586ms, total_cost=36.76
user853: total_duration=11232ms, total_cost=60.85
user854: total_duration=5812ms, total_cost=42.18
user855: total_duration=6825ms, total_cost=49.27
user856: total_duration=10602ms, total_cost=76.11
user857: total_duration=8173ms, total_cost=47.93
user858: total_duration=9834ms, total_cost=67.92
user859: total_duration=11764ms, total_cost=64.21
user86: total_duration=12380ms, total_cost=83.53
user860: total_duration=14727ms, total_cost=83.52
user861: total_duration=8854ms, total_cost=64.20
user862: total_duration=10622ms, total_cost=73.78
user863: total_duration=10513ms, total_cost=76.40
user864: total_duration=11916ms, total_cost=70.95
user865: total_duration=7367ms, total_cost=52.66
user866: total_duration=6297ms, total_cost=34.94
user867: total_duration=8055ms, total_cost=47.00
user868: total_duration=6591ms, total_cost=52.94
user869: total_duration=8421ms, total_cost=46.42
user87: total_duration=8997ms, total_cost=60.76
user870: total_duration=4003ms, total_cost=34.33
user871: total_duration=12958ms, total_cost=59.31
user872: total_duration=9721ms, total_cost=70.40
user873: total_duration=10363ms, total_cost=61.26
user874: total_duration=7402ms, total_cost=45.42
user875: total_duration=6378ms, total_cost=22.87
user876: total_duration=14233ms, total_cost=84.73
user877: total_duration=8493ms, total_cost=51.29
user878: total_duration=4216ms, total_cost=33.76
user879: total_duration=10028ms, total_cost=58.08
user88: total_duration=9000ms, total_cost=61.76
user880: total_duration=12974ms, total_cost=82.46
user881: total_duration=24760ms, total_cost=145.15
user882: total_duration=8169ms, total_cost=31.37
user883: total_duration=10828ms, total_cost=74.68
user884: total_duration=11740ms, total_cost=48.34
user885: total_duration=9783ms, total_cost=54.40
user886: total_duration=16397ms, total_cost=84.34
user887: total_duration=6406ms, total_cost=41.50
user888: total_duration=11954ms, total_cost=62.02
user889: total_duration=11172ms, total_cost=53.16
user89: total_duration=8766ms, total_cost=66.52
user890: total_duration=4078ms, total_cost=29.14
user891: total_duration=11192ms, total_cost=71.80
user892: total_duration=3952ms, total_cost=27.97
user893: total_duration=7992ms, total_cost=48.93
user894: total_duration=7393ms, total_cost=38.59
user895: total_duration=11772ms, total_cost=58.22
user896: total_duration=4897ms, total_cost=38.05
user897: total_duration=12827ms, total_cost=100.16
user898: total_duration=8680ms, total_cost=52.71
user899: total_duration=11002ms, total_cost=74.54
user9: total_duration=8578ms, total_cost=66.23
user90: total_duration=12223ms, total_cost=95.47
user900: total_duration=6226ms, total_cost=46.96
user901: total_duration=9294ms, total_cost=63.64
user902: total_duration=11514ms, total_cost=55.29
user903: total_duration=7578ms, total_cost=49.88
user904: total_duration=12588ms, total_cost=84.82
user905: total_duration=7529ms, total_cost=56.90
user906: total_duration=6032ms, total_cost=27.15
user907: total_duration=7709ms, total_cost=53.94
user908: total_duration=12955ms, total_cost=58.22
user909: total_duration=9527ms, total_cost=58.38
user91: total_duration=14931ms, total_cost=113.81
user910: total_duration=11640ms, total_cost=100.03
user911: total_duration=11283ms, total_cost=65.71
user912: total_duration=4925ms, total_cost=27.20
user913: total_duration=15194ms, total_cost=109.84
user914: total_duration=8663ms, total_cost=64.05
user915: total_duration=13647ms, total_cost=81.30
user916: total_duration=12495ms, total_cost=85.16
user917: total_duration=8877ms, total_cost=62.18
user918: total_duration=8770ms, total_cost=66.95
user919: total_duration=6840ms, total_cost=49.73
user92: total_duration=12707ms, total_cost=107.03
user920: total_duration=10941ms, total_cost=36.93
user921: total_duration=15860ms, total_cost=95.48
user922: total_duration=12882ms, total_cost=66.73
user923: total_duration=12230ms, total_cost=86.40
user924: total_duration=5179ms, total_cost=37.78
user925: total_duration=11987ms, total_cost=57.07
user926: total_duration=11826ms, total_cost=72.97
user927: total_duration=9499ms, total_cost=67.40
user928: total_duration=8861ms, total_cost=46.94
user929: total_duration=5999ms, total_cost=37.31
user93: total_duration=22085ms, total_cost=134.46
user930: total_duration=7712ms, total_cost=51.14
user931: total_duration=7639ms, total_cost=62.57
user932: total_duration=8367ms, total_cost=37.53
user933: total_duration=17226ms, total_cost=97.75
user934: total_duration=8378ms, total_cost=64.25
user935: total_duration=4382ms, total_cost=32.13
user936: total_duration=12717ms, total_cost=57.49
user937: total_duration=12941ms, total_cost=88.54
user938: total_duration=6646ms, total_cost=35.14
user939: total_duration=11767ms, total_cost=79.86
user94: total_duration=13401ms, total_cost=80.05
user940: total_duration=15872ms, total_cost=93.39
user941: total_duration=12758ms, total_cost=84.33
user942: total_duration=10197ms, total_cost=68.68
user943: total_duration=10111ms, total_cost=76.32
user944: total_duration=19137ms, total_cost=90.35
user945: total_duration=18046ms, total_cost=133.55
user946: total_duration=9941ms, total_cost=51.98
user947: total_duration=8375ms, total_cost=53.33
user948: total_duration=4767ms, total_cost=43.14
user949: total_duration=10300ms, total_cost=61.21
user95: total_duration=6201ms, total_cost=49.68
user950: total_duration=11562ms, total_cost=74.80
user951: total_duration=12299ms, total_cost=71.50
user952: total_duration=9205ms, total_cost=58.73
user953: total_duration=8518ms, total_cost=35.88
user954: total_duration=11460ms, total_cost=70.92
user955: total_duration=7737ms, total_cost=46.10
user956: total_duration=9718ms, total_cost=68.94
user957: total_duration=16791ms, total_cost=109.11
user958: total_duration=16756ms, total_cost=119.77
user959: total_duration=2302ms, total_cost=20.68
user96: total_duration=10985ms, total_cost=80.84
user960: total_duration=5923ms, total_cost=41.14
user961: total_duration=6238ms, total_cost=38.25
user962: total_duration=4364ms, total_cost=26.99
user963: total_duration=6975ms, total_cost=36.73
user964: total_duration=6343ms, total_cost=40.01
user965: total_duration=7866ms, total_cost=47.60
user966: total_duration=16025ms, total_cost=114.07
user967: total_duration=9701ms, total_cost=57.44
user968: total_duration=5727ms, total_cost=34.05
user969: total_duration=10864ms, total_cost=77.70
user97: total_duration=8260ms, total_cost=48.99
user970: total_duration=5600ms, total_cost=34.82
user971: total_duration=9179ms, total_cost=54.27
user972: total_duration=17289ms, total_cost=120.67
user973: total_duration=15769ms, total_cost=80.45
user974: total_duration=6867ms, total_cost=46.76
user975: total_duration=9807ms, total_cost=65.20
user976: total_duration=18625ms, total_cost=117.50
user977: total_duration=5466ms, total_cost=42.13
user978: total_duration=10640ms, total_cost=67.98
user979: total_duration=7845ms, total_cost=43.50
user98: total_duration=10175ms, total_cost=70.81
user980: total_duration=9894ms, total_cost=78.88
user981: total_duration=8863ms, total_cost=69.28
user982: total_duration=6849ms, total_cost=42.73
user983: total_duration=17541ms, total_cost=124.90
user984: total_duration=10960ms, total_cost=64.41
user985: total_duration=10067ms, total_cost=67.48
user986: total_duration=6223ms, total_cost=30.95
user987: total_duration=6524ms, total_cost=44.07
user988: total_duration=4792ms, total_cost=23.96
user989: total_duration=11976ms, total_cost=72.82
user99: total_duration=14822ms, total_cost=105.09
user990: total_duration=10288ms, total_cost=78.52
user991: total_duration=9322ms, total_cost=54.85
user992: total_duration=9102ms, total_cost=68.98
user993: total_duration=20707ms, total_cost=132.18
user994: total_duration=12528ms, total_cost=90.42
user995: total_duration=9107ms, total_cost=36.58
user996: total_duration=15109ms, total_cost=101.92
user997: total_duration=10908ms, total_cost=62.42
user998: total_duration=16633ms, total_cost=119.69
user999: total_duration=9964ms, total_cost=60.72
